id,start ,location,cunlan,fabing,death,overtime,long,lat
113,20190312,四川省邻水县,150（运载头数）,,9,,106.93038,30.334769
114,20190321,重庆市石柱县,91,9,6,20190504,108.114069,29.999285
115,20190330,湖北省利川市,142,8,5,20190517,108.909996,30.210981
116,20190330,湖北省利川市,83,83,73,20190517,108.909996,30.210981
117,20190404,新疆乌鲁木齐市米东区,200,15,15,20190522,87.655755,43.973579
118,20190404,云南省迪庆州香格里拉市,301,196,105,20190603,99.700836,27.829743
119,20190407,西藏自治州林芝市巴宜区、工布江达县、波密县,,,55,20190528,95.768158,29.858766
120,20190408,新疆维吾尔族自治区喀什地区叶城县,341,39,39,20190528,77.413836,37.882989
121,20190411,新疆维吾尔族自治区喀什地区疏勒县,583,150,92,20190529,76.048139,39.401385
122,20190419,海南省万宁市,419,49,49,20190522,110.391073,18.795143
123,20190419,海南省儋州市,172,62,62,20190524,109.580811,19.521134
124,20190421,海南省海口市秀英区,252,252,43,20190524,110.293561,20.007969
125,20190421,海南省澄迈县两养殖户,172,62,62,20190524,110.006755,19.738521
126,20190421,海南省宝亭黎族苗族自治县,7,7,7,20190524,110.349228,20.017377
127,20190421,海南省陵水黎族自治县,86,34,34,20190524,110.037504,18.506048
128,20190518,贵州省贵阳市乌当区,75（运载头数）,6,6,20190614,106.750625,26.630845
129,20190520,四川省阿坝州若尔盖县降扎乡,429,111,78,,102.807064,34.157715
130,20190521,宁夏石嘴山市惠农区河滨街道办事处,40,4,3,,106.770813,39.310843
131,20190525,云南省文山州砚山县维摩乡,104,49,48,,104.337242,23.605865
132,20190527,广西博白县旺茂镇,1,1,0,,109.901238,22.103724
133,20190529,云南省西双版纳州勐海县格朗和乡,80,37,12,,100.452548,21.957354
134,20190531,贵州省黔南州都匀市,32（运载头数）,1,1,,107.518847,26.259427
135,20190611,贵州省黔南州都匀市,331,15,10,,107.518847,26.259427
136,20190620,贵州省黔南州平塘县克度镇落良村斗篷组,65,24,21,,106.843802,25.690647
137,20190620,贵州省黔南州平塘县通州镇乐阳村董老组,121,19,15,,107.02485,25.793207
138,20190621,贵州省黔南州三都县周覃镇连心村和中和镇姑引村,898,114,82,,107.910024,25.628553
139,20190623,青海省海东市平安区石灰窟乡上法台村,32,32,17,,101.87953,36.348812
140,20190628,宁夏回族自治区中卫市沙坡头区,,,,,105.190536,37.514564
