OID,start,cunlan,fabing,death,province,city,overtime,location,Long,Lat
65,20181116,,1,1,吉林省,白山市,,吉林省白山市浑江区（一头野猪）,126.416094,41.945409
66,20181116,1,1,1,云南省,昭通市,20181228,云南省昭通市威信县,105.049027,27.846901
67,20181117,150,10,10,江西省,上饶市,20181229,江西省上饶市鄱阳县,116.699746,29.011699
68,20181117,348,,,云南省,昆明市,20181229,云南省昆明市呈贡区（屠宰场）,102.798124,24.914208
69,20181117,110,27,13,四川省,成都市,20190103,四川省成都市新津县,103.811345,30.410222
70,20181117,314,50,11,上海市,上海市,20190104,上海市金山区,121.34197,30.741991
71,20181119,900,269,269,黑龙江省,哈尔滨市,20190107,黑龙江省哈尔滨市道外区,126.649451,45.792113
72,20181121,73,61,55,湖南省,怀化市,20190105,湖南省怀化市鹤城区,110.040315,27.578926
73,20181123,1325,,49,北京市,北京市,20190112,北京市房山区青龙湖镇,116.039634,39.777311
74,20181123,429,,37,北京市,北京市,20190112,北京市房山区琉璃河镇,116.030997,39.610514
75,20181123,88,69,53,内蒙古自治区,包头市,20190130,内蒙古自治区包头市昆都仑区,109.838178,40.642236
76,20181125,63,9,5,湖北省,黄石市,20190110, 湖北省黄石市阳新县,115.215227,29.830258
77,20181129,361,,67,天津市,天津市,20190112,天津市宁河区,117.826625,39.329858
78,20181130,159,16,4,江西省,九江市,20190110,江西省九江市柴桑区,115.911323,29.608431
79,20181203,245,205,79,陕西省,西安市,20190117,陕西省西安市鄠邑区,108.605028,34.108613
80,20181203,9835,85,17,北京市,北京市,20190115,北京市通州区,116.656435,39.909946
81,20181203,375,,77,黑龙江省,黑河市,20190124, 黑龙江省农垦总局北安管理局（野猪） ,126.510924,48.250199
82,20181205,165,68,68,四川省,泸州市,20190129,四川省泸州市合江县,105.831067,28.811203
83,20181205,245,85,64,陕西省,西安市,20190117,陕西省西安市长安区,108.906917,34.159016
84,20181205,2461,53,26,北京市,北京市,20190121, 北京市顺义区,116.654561,40.130347
85,20181206,91,45,35,山西省,临汾市,20190118,山西省临汾市尧都区,111.579554,36.078841
86,20181210,33,19,19,陕西省,榆林市,20190121,陕西省榆林市神木市,110.498868,38.842498
87,20181210,26,5,5,贵州省,贵阳市,20190124,贵州省贵阳市白云区,106.623007,26.678562
88,20181212,117,51,19,四川省,巴中市,20190125,四川省巴中市巴州区,106.768878,31.851478
89,20181212,69,14,14,青海省,西宁市,20190123,青海省西宁市大通县,101.685643,36.926955
90,20181216,210,35,26,四川省,绵阳市,20190128,四川省绵阳市盐亭县,105.389453,31.208363
91,20181216,84,24,24,黑龙江省,鸡西市,20190128,黑龙江省鸡西市鸡冠区,130.980894,45.304073
92,20181218,23,8,3,重庆市,重庆市,20190131, 重庆市璧山区,106.227305,29.592024
93,20181219,50,11,11,广东省,珠海市,20190111,广东省珠海市香洲区（屠宰场）,113.543785,22.265811
94,20181220,11950,27,27,福建省,三明市,20190201,福建省三明市尤溪县,118.190467,26.170171
95,20181221,156,42,42,贵州省,黔南布依族苗族自治州,20190203,贵州省黔南州龙里县,106.979524,26.453154
96,20181222,6027,30,9,广东省,广州市,20190203,广东省广州市黄埔区,113.459749,23.106402
97,20181224,5776,35,11,福建省,南平市,20190207,福建省南平市延平区,118.181894,26.637457
98,20181225,90,11,11,广东省,惠州市,20190206,广东省惠州市博罗县,114.289496,23.172899
99,20181230,8016,24,7,山西省,晋城市,20190213,山西省晋城市泽州县,112.899137,35.617221
100,20190101,73000,4686,3766,黑龙江省,绥化市,20190226,黑龙江省绥化市明水县,125.906301,47.173426
101,20190112,68969,2452,1369,江苏省,宿迁市,20190228,江苏省泗阳县,118.703038,33.72314
102,20190113,109,44,9,甘肃省,庆阳市,20190228,甘肃省庆阳市庆城县驿马镇,107.611095,35.90081
103,20190118,190,143,37,甘肃省,兰州市,20190305,甘肃省兰州市七里河区,103.785866,36.065915
104,20190120,57,26,13,宁夏回族自治区,银川市,20190305,宁夏回族自治区永宁县望远镇,106.270738,38.384684
105,20190208,4600,270,171,湖南省,永州市,20190323,湖南省永州市经济技术开发区,111.590591,26.412891
106,20190218,23555,1629,924,广西壮族自治区,北海市,20190409,广西壮族自治区北海市银海区,109.13999,21.449219
107,20190220,4504,17,3,山东省,济南市,20190405,山东省济南市莱芜区,117.119999,36.651216
108,20190221,300,6,2,云南省,怒江傈僳族自治州,20190405,云南省怒江州泸水市,98.857977,25.82288
109,20190224,5600,,,河北省,保定市,20190412,河北省保定市徐水区,115.62441,39.026233
110,20190424,222,222,210,内蒙古自治区,,20190525,内蒙古大兴安岭桑杜尔林场,111.765617,40.817498
111,20190227,11334,150,62,陕西省,榆林市,20190414,陕西省榆林市靖边县,108.793988,37.599438
112,20190307,3172,24,20,广西壮族自治区,贵港市,20190425,广西贵港市港南区,109.599557,23.075573
113,20190312,150（运载头数）,,9,四川省,广安市,,四川省邻水县,106.93038,30.334769
114,20190321,91,9,6,重庆市,重庆市,20190504,重庆市石柱县,108.114069,29.999285
115,20190330,142,8,5,湖北省,恩施土家族苗族自治州,20190517,湖北省利川市,108.909996,30.210981
116,20190330,83,83,73,湖北省,恩施土家族苗族自治州,20190517,湖北省利川市,108.909996,30.210981
117,20190404,200,15,15,新疆维吾尔自治区,乌鲁木齐市,20190522,新疆乌鲁木齐市米东区,87.655755,43.973579
118,20190404,301,196,105,云南省,迪庆藏族自治州,20190603,云南省迪庆州香格里拉市,99.700836,27.829743
119,20190407,,,55,西藏自治区,林芝市,20190528,西藏自治州林芝市巴宜区、工布江达县、波密县,95.768158,29.858766
120,20190408,341,39,39,新疆维吾尔自治区,喀什地区,20190528,新疆维吾尔族自治区喀什地区叶城县,77.413836,37.882989
121,20190411,583,150,92,新疆维吾尔自治区,喀什地区,20190529,新疆维吾尔族自治区喀什地区疏勒县,76.048139,39.401385
122,20190419,419,49,49,海南省,,20190522,海南省万宁市,110.391073,18.795143
123,20190419,172,62,62,海南省,儋州市,20190524,海南省儋州市,109.580811,19.521134
124,20190421,252,252,43,海南省,海口市,20190524,海南省海口市秀英区,110.293561,20.007969
125,20190421,172,62,62,海南省,,20190524,海南省澄迈县两养殖户,110.006755,19.738521
126,20190421,7,7,7,海南省,,20190524,海南省宝亭黎族苗族自治县,110.349228,20.017377
127,20190421,86,34,34,海南省,,20190524,海南省陵水黎族自治县,110.037504,18.506048
128,20190518,75（运载头数）,6,6,贵州省,贵阳市,20190614,贵州省贵阳市乌当区,106.750625,26.630845
129,20190520,429,111,78,四川省,阿坝藏族羌族自治州,,四川省阿坝州若尔盖县降扎乡,102.807064,34.157715
130,20190521,40,4,3,宁夏回族自治区,石嘴山市,,宁夏石嘴山市惠农区河滨街道办事处,106.770813,39.310843
131,20190525,104,49,48,云南省,文山壮族苗族自治州,,云南省文山州砚山县维摩乡,104.337242,23.605865
132,20190527,1,1,0,广西壮族自治区,玉林市,,广西博白县旺茂镇,109.901238,22.103724
133,20190529,80,37,12,云南省,西双版纳傣族自治州,,云南省西双版纳州勐海县格朗和乡,100.452548,21.957354
134,20190531,32（运载头数）,1,1,贵州省,黔南布依族苗族自治州,,贵州省黔南州都匀市,107.518847,26.259427
135,20190611,331,15,10,贵州省,黔南布依族苗族自治州,,贵州省黔南州都匀市,107.518847,26.259427
136,20190620,65,24,21,贵州省,黔南布依族苗族自治州,,贵州省黔南州平塘县克度镇落良村斗篷组,106.843802,25.690647
137,20190620,121,19,15,贵州省,黔南布依族苗族自治州,,贵州省黔南州平塘县通州镇乐阳村董老组,107.02485,25.793207
138,20190621,898,114,82,贵州省,黔南布依族苗族自治州,,贵州省黔南州三都县周覃镇连心村和中和镇姑引村,107.910024,25.628553
139,20190623,32,32,17,青海省,海东市,,青海省海东市平安区石灰窟乡上法台村,101.87953,36.348812
140,20190628,,,,宁夏回族自治区,中卫市,,宁夏回族自治区中卫市沙坡头区,105.190536,37.514564
